[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'incendium:ruined_lab' in civil:civil_zone_policies/incendium.json (rule=incendium_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'incendium:sanctum' in civil:civil_zone_policies/incendium.json (rule=incendium_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Rule 'incendium_all' in civil:civil_zone_policies/incendium.json has no valid structures, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:abandoned_spire' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:abandoned_temple' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:abandoned_village' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:acropolis' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:amethyst_nest' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:ancient_factory' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:burning_arena' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:cursed_pyramid' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:desert_occupied_village' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:desert_site' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'cataclysm:desert_temple' in civil:civil_zone_policies/l_enders_cataclysm.json (rule=cataclysm_all), skipping
